director,count
Julien Leclercq,3
Alex Lehmann,3
Rajiv Menon,3
Hasan Karacadağ,3
Andrzej Bartkowiak,3
James Wan,3
Simon Wincer,3
Momoko Kamiya,3
Raj Kapoor,3
Lekh Tandon,3
Linda Mendoza,3
Scott Zabielski,3
"Sumitra Bhave, Sunil Sukthankar",3
Garry Marshall,3
Ahmed Al-Badry,3
Matías Gueilburt,3
Shawn Levy,3
Amr Arafa,3
Pang Ho-cheung,3
Ken Ghosh,3
Walter Hill,3
Brett Haley,3
"Yoshiyuki Tomino, Yoshikazu Yasuhiko",3
Guillermo del Toro,3
Orlando von Einsiedel,3
Ribhu Dasgupta,3
Andibachtiar Yusuf,3
Paul Greengrass,3
Adam Shankman,3
Tope Oshin,3
Sylvester Stallone,3
Frank Coraci,3
Gabriele Muccino,3
Olivia M. Lamasan,3
Abhishek Kapoor,3
B. V. Nandini Reddy,3
Kemi Adetiba,3
Hardik Mehta,3
Ishaya Bako,3
Mohamed Hamdy,3
John Lee Hancock,3
Mark Raso,3
Abhishek Sharma,3
Adze Ugah,3
Robert Zemeckis,3
Steven C. Miller,3
Morgan Neville,3
Jonathan Demme,3
Charles Stone III,3
Les Mayfield,3
Vikramaditya Motwane,3
Eli Roth,3
Peter Jackson,3
Adam McKay,3
Prakash Mehra,3
John Fortenberry,3
Mahesh Bhatt,3
Kenneth Gyang,3
Jalil Lespert,3
Burak Aksak,3
Manolo Caro,3
Chris Howe,3
Jon Rosenbaum,3
Michael Dowse,3
Pablo Larraín,3
Reginald Hudlin,3
Pankaj Batra,3
David R. Ellis,3
"Latif Faiziyev, Umesh Mehra",3
Neal Brennan,3
Mohamed Samy,3
John Wells,2
Manish Jha,2
Will Gluck,2
Sherif Arafa,2
Zak Hilditch,2
Ken Burns,2
Tom Ford,2
"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar",2
Nicholas Kharkongor,2
Jared Hess,2
Simon Stone,2
Olivier Marchal,2
Kabir Sadanand,2
Edwin,2
Mohit Suri,2
Justin Webster,2
Jerry Rothwell,2
"Thierry Demaizière, Alban Teurlai",2
Phil Weinstein,2
Oliver Twinch,2
Michael Patrick King,2
Alejandro Doria,2
Alexis Morante,2
Jeff Orlowski,2
Baljit Singh Deo,2
Andrew Lau Wai-Keung,2
Sriram Raghavan,2
Sundar C.,2
Antonio Serrano,2
Harold Cronk,2
Pratim D. Gupta,2
Laxman Utekar,2
Noam Murro,2
Anthony Minghella,2
Christopher Storer,2
Sara Colangelo,2
Tsutomu Mizushima,2
Ulises Valencia,2
Florian Henckel von Donnersmarck,2
Daniel Oriahi,2
Sam Mendes,2
Hannah Fidell,2
Joe Dante,2
Patryk Vega,2
Tarsem Singh,2
Ted Emery,2
Gianfranco Rosi,2
Tosin Igho,2
Howard Zieff,2
Matthew Vaughn,2
J.C. Chandor,2
Amy Poehler,2
Dee Rees,2
Eli Craig,2
Santosh Sivan,2
"Jon Lucas, Scott Moore",2
Avadhoot Gupte,2
Scott Hicks,2
Olivier Megaton,2
Charles Uwagbai,2
Ivan Ayr,2
N. Linguswamy,2
Robert Altman,2
Masaaki Yuasa,2
James Mangold,2
Basu Chatterjee,2
David Pablos,2
Sarah Gavron,2
Zoe Berriatúa,2
John Dahl,2
Umesh Shukla,2
Ricky Gervais,2
Daniel Alfredson,2
Tom Donahue,2
Abba T. Makama,2
Clark Johnson,2
Anthony Giordano,2
Jack C. Newell,2
William Brent Bell,2
Dennie Gordon,2
Tyler Spindel,2
Christopher Smith,2
Alex Merkin,2
Peter Lepeniotis,2
Trivikram Srinivas,2
"Heidi Ewing, Rachel Grady",2
Ben Simms,2
George Ford,2
David M. Rosenthal,2
Walter Taylaur,2
Jeff Tremaine,2
Upi Avianto,2
Tosin Coker,2
David O. Russell,2
Malcolm D. Lee,2
Najwa Najjar,2
Stephen Chiodo,2
Sang-ho Yeon,2
Isaac Ezban,2
Sekhar Kammula,2
Mikhil Musale,2
Timothy Woodward Jr.,2
Colin Trevorrow,2
Daniel Gray Longino,2
Anirban Majumder,2
Bunmi Ajakaiye,2
Michael Fimognari,2
Renzil D'Silva,2
Nagraj Manjule,2
Scott Stewart,2
Jason Paul Laxamana,2
Alejandro Montiel,2
Spike Jonze,2
Jeffrey Walker,2
Tim Johnson,2
Mysskin,2
"Måns Mårlind, Björn Stein",2
Kim Seong-hun,2
Paul Verhoeven,2
Esteban Crespo,2
Jeethu Joseph,2
Harvey Lowry,2
Saratswadee Wongsomphet,2
Rajat Kapoor,2
Salvador Calvo,2
Kevin Layne,2
Zack Snyder,2
Stacie Passon,2
Tarun Mansukhani,2
Aditya Sarpotdar,2
John Stockwell,2
Nick Castle,2
James Toback,2
Ryan Coogler,2
Mark Steven Johnson,2
Pascal Amanfo,2
Rhys Thomas,2
Bejoy Nambiar,2
Dimitri Logothetis,2
Nadia Hallgren,2
Richard LaGravenese,2
"Bobby Farrelly, Peter Farrelly",2
Courtney Hunt,2
Brian De Palma,2
John Dower,2
Jon Favreau,2
Daniel Calparsoro,2
Asif Kapadia,2
Mana Yasuda,2
Errol Morris,2
Oluseyi Asurf,2
Justin Kelly,2
"Justin Benson, Aaron Moorhead",2
Ifa Isfansyah,2
Chanda Bell,2
Oz Rodriguez,2
Philipp Stölzl,2
Mark Tonderai,2
Husam El-Gohari,2
Johannes Roberts,2
Sean Penn,2
Trey Edward Shults,2
Karyn Kusama,2
Davis Guggenheim,2
Elaine McMillion Sheldon,2
Bill Condon,2
Vikas Bahl,2
Petra Costa,2
Scott L. Montoya,2
Satyajit Bhatkal,2
Hussein Kamal,2
Stephen Frears,2
Kingsley Ogoro,2
Peter Hutchings,2
Wes Craven,2
Stanisław Różewicz,2
Oriol Paulo,2
Darren Lynn Bousman,2
Toa Fraser,2
Leslie Iwerks,2
Lee Hirsch,2
Stanley Kubrick,2
Simon Wells,2
Bong Joon Ho,2
Stanley Nelson,2
Ali Ragab,2
Alistair Legrand,2
Hsu Fu-chun,2
Lars von Trier,2
Dino Risi,2
Michael J. Bassett,2
Khaled El Halafawy,2
Estela Renner,2
Tensai Okamura,2
Ringo Lam,2
Thomas Astruc,2
Stephen Daldry,2
Anthony D'Souza,2
Cristi Puiu,2
Danny Boyle,2
Derek Cianfrance,2
John Duigan,2
David Gordon Green,2
Gary Fleder,2
Ashok Nanda,2
Álex de la Iglesia,2
Chris Weitz,2
"Steven Bognar, Julia Reichert",2
Christopher Guest,2
Janusz Majewski,2
Maryo J. De los Reyes,2
Bryan Bertino,2
Lucky Kuswandi,2
Tony Giglio,2
Marcelo Galvão,2
Kristian Mercado,2
Mukul Anand,2
Gerardo Olivares,2
Floyd Russ,2
Aditya Kripalani,2
Sion Sono,2
Gajendra Ahire,2
Kim A. Snyder,2
Israel Adrián Caetano,2
Michael Drumm,2
Ruben Fleischer,2
Rob Seidenglanz,2
Larry Latham,2
Sameer Vidwans,2
Gillian Robespierre,2
J.A. Bayona,2
Ahmed Zein,2
Hani Hamdi,2
John Hillcoat,2
Brian Robbins,2
Toka McBaror,2
Keishi Otomo,2
Kazuchika Kise,2
Paul Soriano,2
Parambrata Chatterjee,2
"Stanley Moore, Alex Woo",2
Peter Sullivan,2
A. L. Vijay,2
Ross Boyask,2
Amy Schumer,2
John Ford,2
Jonathan Hensleigh,2
Steve Paley,2
Luc Vinciguerra,2
Liam Lynch,2
Tyler Perry,2
Steven Brill,2
R. Ellis Frazier,2
Dan Gilroy,2
Rizal Mantovani,2
Osgood Perkins,2
Nicolás López,2
Sam Hobkinson,2
V Vignarajan,2
Ted Demme,2
Satish Kaushik,2
Thomas Sieben,2
Joe Roth,2
Joe DeMaio,2
Ben Wallis,2
"Leslie Small, Tim Story",2
Shirley Frimpong-Manso,2
Atanu Ghosh,2
Richard Rich,2
Luis Estrada,2
Daniel Benmayor,2
Brian Oakes,2
Pete Travis,2
James Wong,2
Ismail Farouk,2
Hadi El Bagoury,2
Norman Jewison,2
Bradley Parker,2
Mateo Gil,2
Ben Wheatley,2
Mez Tharatorn,2
Dallas Jackson,2
Liz Garbus,2
Ron Davis,2
Ryan Murphy,2
Keoni Waxman,2
Matt Kugelman,2
Kenny Young,2
Jose Manuel Colón,2
Alex Zamm,2
Gore Verbinski,2
Taika Waititi,2
Eduardo Roy Jr.,2
RZA,2
Paul Haggis,2
George Clooney,2
Ruel S. Bayani,2
Sam Raimi,2
Liam O'Donnell,2
Luv Ranjan,2
"Bo Burnham, Christopher Storer",2
Stephen Chow,2
Navaniat Singh,2
Charlie Lightening,2
Ridley Scott,2
Damián Romay,2
Florent Bodin,2
Michael D. Black,2
Billy Corben,2
James McTeigue,2
"Daniel Lindsay, T.J. Martin",2
Ziad Doueiri,2
Naoko Yamada,2
Ian Edelman,2
Shakti Samanta,2
Warren P. Sonoda,2
Halitha Shameem,2
Martin Gorst,2
Alexandre Aja,2
Michael Damian,2
Jerry Seinfeld,2
Frank Oz,2
"Ethan Coen, Joel Coen",2
Steve Gukas,2
Nicolas Pesce,2
Alison Klayman,2
Mitch Schauer,2
M. Night Shyamalan,2
Sylvie Verheyde,2
Bo Burnham,2
Hajime Kamegaki,2
Bernie Denk,2
"Àlex Pastor, David Pastor",2
Morgan Spurlock,2
Rebecca Zlotowski,2
Jerrold Tarog,2
Gareth Evans,2
Mohamed Diab,2
Mike Binder,2
Vicky Matthews,2
Rob Marshall,2
Haifaa Al-Mansour,2
Erwin van den Eshof,2
Bille Woodruff,2
Yorgos Lanthimos,2
Cal Seville,2
Federico Lemos,2
Michael Showalter,2
Chito S. Roño,2
Chris Sivertson,2
Federico Veiroj,2
Jason Reitman,2
Angelina Jolie,2
Swapnaneel Jayakar,2
Kevin MacDonald,2
Will Yapp,2
Peter Orton,2
Jeff Wadlow,2
Ali F. Mostafa,2
A.R. Murugadoss,2
Raditya Dika,2
Shlok Sharma,2
Guy Ritchie,2
Paul Andrew Williams,2
Şenol Sönmez,2
Park Hoon-jung,2
Ciarán Foy,2
Sangeeth Sivan,2
Baran bo Odar,2
Alex Proyas,2
"Greg Rankin, TJ Sullivan",2
Frank Rajah Arase,2
Scott Moran,2
Daniel Kontur,2
Susannah Ward,2
Tom Shadyac,2
Dominic Sena,2
Vikram Bhatt,2
Neill Blomkamp,2
Paul Weitz,2
Ahishor Solomon,2
Aaron Sorkin,2
Delhiprasad Deenadayalan,2
Laura Brownson,2
Apoorva Lakhia,2
